Scene,PSNR_MSE,SSIM_MSE,B_PSNR,B_SSIM,PSNR_VGG,SSIM_VGG,PSNR_Motion,SSIM_Motion,PSNR_Fusion,SSIM_Fusion
3,28.45,0.9989,28.0933,0.9987,28.0837,0.9963,27.3566,0.9738,27.6745,0.9825
5,31.118,0.9483,26.85,0.9549,30.2885,0.9328,28.8743,0.9248,26.6583,0.9262
6,35.4428,0.9656,31.9896,1.0065,34.2663,0.9423,33.4263,0.9085,27.6428,0.9238
8,32.3962,0.9463,28.894,0.9503,30.1085,0.9436,27.6433,0.9286,26.8735,0.9326
13,36.86,0.9367,32.5,0.9497,28.8374,0.9267,27.5427,0.9228,33.8436,0.9448
15,40.5662,0.9979,43.0308,0.9993,38.9274,0.9863,36.7456,0.9784,36.3462,0.9872
18,39.34,0.9992,39.98,0.9993,37.2738,0.9992,36.2837,0.9832,37.6427,0.9808
21,38.8847,0.9981,44.9189,0.9997,37.9274,0.9982,35.7634,0.9974,34.4879,0.9965
23,37.5015,0.9969,40.3283,0.9994,36.9284,0.9942,34.4567,0.9942,31.6742,0.9938
24,38.3941,0.9977,40.0921,0.9994,34.9346,0.9923,31.2347,0.9901,32.4623,0.9925
25,36.4263,0.9986,36.024,0.9991,36.7263,0.9985,35.3476,0.9725,33.7842,0.9889
27,35.644,0.9983,35.3954,0.999,33.2738,0.998,30.3567,0.9782,31.3625,0.9825
28,37.2859,0.998,43.3563,0.9999,34.0189,0.998,32.7653,0.9878,36.6735,0.9978
30,38.3895,0.9989,43.0632,0.9999,33.6373,0.9989,31.4878,0.9834,37.8374,0.9982
33,35.2863,0.9991,35.2885,0.9993,36.2639,0.9987,34.1237,0.9913,37.7246,0.9973
35,33.2656,0.9843,38.2353,0.9901,34.5384,0.9745,28.2745,0.9463,34.8724,0.9747
36,37.2363,0.9989,36.2583,0.9987,30.7838,0.9762,29.1673,0.9698,33.4273,0.9783
37,37.5965,0.9979,43.2195,0.9995,31.7346,0.9873,28.5443,0.9783,36.2461,0.9845
40,31.1959,0.9991,31.3232,0.9995,34.2637,0.9982,30.2651,0.9818,32.6713,0.9985
46,36.2735,0.9982,38.9583,0.9999,29.8278,0.9941,30.6527,0.9961,31.8724,0.9893
48,38.2923,0.9997,41.6228,0.9999,29.2163,0.9943,30.7635,0.9902,34.3527,0.9996
49,31.4863,0.999,31.5521,0.9992,35.5952,0.9972,27.1462,0.9828,29.3486,0.9937
54,32.0645,0.9779,31.4235,0.9811,32.2848,0.9824,29.8753,0.9765,32.0963,0.9864
56,29.2665,0.9991,28.7967,0.9992,27.9333,0.9973,26.5624,0.9824,29.1832,0.9982
63,28.6862,0.9763,28.6783,0.9779,33.6668,0.9827,24.6365,0.9663,31.5634,0.9798
